City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
13,Pemangkat,ID,77.34,moderate rain,1.1667,108.9667,Hotel Kelapa Gading
18,Mar Del Plata,AR,86.83,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
24,Atuona,PF,78.78,few clouds,-9.8,-139.0333,Pearl Resort
25,Atar,MR,76.91,clear sky,20.5169,-13.0499,فندق سكليل
29,Rikitea,PF,77.04,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
34,Souillac,MU,77.38,shower rain,-20.5167,57.5167,Hotel SkylineInn
36,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue
37,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti International Resort
50,Port Blair,IN,78.84,haze,11.6667,92.75,Andaman Ocean Breeze
52,Mongoumba,CF,85.14,broken clouds,3.6415,18.5936,Hôtel Wilo et Frères
54,Faanui,PF,80.46,light rain,-16.4833,-151.75,Oa Oa Lodge
64,Chuy,UY,81.46,overcast clouds,-33.6971,-53.4616,Alerces
65,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Prainha
66,Sao Gabriel Da Cachoeira,BR,85.8,clear sky,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
74,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
75,Pimenta Bueno,BR,86.13,moderate rain,-11.6725,-61.1936,Cristalina palace hotel
83,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
86,Pisco,PE,77.02,clear sky,-13.7,-76.2167,La Portada
88,Salalah,OM,80.69,clear sky,17.0151,54.0924,Muscat International Hotel
92,Monrovia,LR,89.37,broken clouds,6.3005,-10.7969,Bella Casa Hotel
93,Itarema,BR,86.14,overcast clouds,-2.9248,-39.9167,Pousada Oásis
98,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
106,Namatanai,PG,79.05,overcast clouds,-3.6667,152.4333,Namatanai Hotel
109,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
111,Koumac,NC,75.97,broken clouds,-20.5667,164.2833,Monitel Koumac
113,Cidreira,BR,77.76,light rain,-30.1811,-50.2056,Hotel Castelo
135,Cape Town,ZA,83.08,clear sky,-33.9258,18.4232,Townhouse Hotel
139,Cockburn Town,TC,76.68,broken clouds,21.4612,-71.1419,The Salt Raker Inn
144,Kavieng,PG,81.73,overcast clouds,-2.5744,150.7967,Kavieng Hotel
150,Hithadhoo,MV,80.33,scattered clouds,-0.6,73.0833,Pebbles Inn
152,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
155,Buchanan,LR,83.82,few clouds,5.8808,-10.0467,Phillipmena's Guesthouse
158,Grand-Lahou,CI,82.71,scattered clouds,5.1367,-5.0242,Cap Lahou
160,Tutoia,BR,82.81,broken clouds,-2.7619,-42.2744,Pousada San Vicente
162,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
165,Paita,PE,77.76,broken clouds,-5.0892,-81.1144,Victor's
167,Richards Bay,ZA,82.13,overcast clouds,-28.783,32.0377,Protea Hotel
174,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
181,Kilifi,KE,78.57,scattered clouds,-3.6305,39.8499,Titanic Hotel
204,Necochea,AR,87.49,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
211,Champerico,GT,86.54,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
213,Rio Gallegos,AR,78.85,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
216,Mahebourg,MU,77.29,shower rain,-20.4081,57.7,Grand Bel Air
221,Coari,BR,78.22,overcast clouds,-4.085,-63.1414,Hotel Saúde
225,Morondava,MG,84.34,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
227,Sao Miguel Do Araguaia,BR,85.82,scattered clouds,-13.275,-50.1628,Hotel São Miguel
