City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Yellowknife,CA,62.456,-114.3525,16.32,92,100,5.75,light snow
1,Srednekolymsk,RU,67.45,153.6833,-31.2,99,100,7.54,overcast clouds
2,Khatanga,RU,71.9667,102.5,-34.26,88,23,7.34,few clouds
3,Dingle,PH,10.9995,122.6711,75.0,94,82,9.91,broken clouds
4,Hobart,AU,-42.8794,147.3294,54.05,78,40,11.5,scattered clouds
5,Bredasdorp,ZA,-34.5322,20.0403,72.97,62,37,11.3,scattered clouds
6,Taylorville,US,39.5489,-89.2945,41.94,75,100,17.27,overcast clouds
7,Ilulissat,GL,69.2167,-51.1,-33.83,66,0,4.59,clear sky
8,Thompson,CA,55.7435,-97.8558,-5.64,77,0,0.0,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,60.82,67,75,12.66,light rain
10,Qaanaaq,GL,77.484,-69.3632,-28.73,54,6,7.72,clear sky
11,Ushuaia,AR,-54.8,-68.3,55.02,66,0,4.61,clear sky
12,Albany,US,42.6001,-73.9662,34.65,81,100,3.27,snow
13,Pemangkat,ID,1.1667,108.9667,77.34,87,87,2.44,moderate rain
14,Mersin,TR,36.862,34.6509,55.71,76,33,3.11,scattered clouds
15,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,71,75,17.27,broken clouds
16,Sakakah,SA,29.9697,40.2064,58.57,44,0,7.43,clear sky
17,Tlaxco,MX,19.6167,-98.1167,63.79,26,25,5.08,scattered clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,86.83,83,40,21.0,scattered clouds
19,Carnarvon,AU,-24.8667,113.6333,76.26,79,21,10.96,few clouds
20,Tiksi,RU,71.6872,128.8694,-29.67,100,91,1.57,overcast clouds
21,Saskylakh,RU,71.9167,114.0833,-42.77,100,52,3.58,broken clouds
22,Guerrero Negro,MX,27.9769,-114.0611,59.79,51,64,2.86,broken clouds
23,Mataura,NZ,-46.1927,168.8643,51.57,98,73,2.53,broken clouds
24,Atuona,PF,-9.8,-139.0333,78.78,77,17,19.93,few clouds
25,Atar,MR,20.5169,-13.0499,76.91,25,0,9.55,clear sky
26,Norman Wells,CA,65.282,-126.8329,-9.36,77,75,0.0,broken clouds
27,Nang Rong,TH,14.6377,102.7914,68.18,55,5,8.3,clear sky
28,Jamestown,US,42.097,-79.2353,40.59,71,100,11.5,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,77.04,72,100,3.78,overcast clouds
30,Likasi,CD,-10.9814,26.7333,64.44,95,99,3.74,moderate rain
31,Malibu,US,34.005,-118.8101,53.19,87,2,1.79,clear sky
32,Husavik,IS,66.0449,-17.3389,13.98,92,100,9.69,overcast clouds
33,Collie,AU,-33.3667,116.15,64.67,56,52,10.63,broken clouds
34,Souillac,MU,-20.5167,57.5167,77.38,94,75,11.5,shower rain
35,Vardo,NO,70.3705,31.1107,26.58,80,20,6.91,few clouds
36,The Valley,AI,18.217,-63.0578,82.26,69,20,12.66,few clouds
37,Vaini,TO,-21.2,-175.2,80.76,89,20,6.91,few clouds
38,Tasiilaq,GL,65.6145,-37.6368,10.56,96,100,0.81,light snow
39,Hermanus,ZA,-34.4187,19.2345,73.8,78,58,7.74,broken clouds
40,Yaviza,PA,8.1537,-77.6931,86.41,60,75,2.3,broken clouds
41,Bilma,NE,18.6853,12.9164,71.67,13,9,7.54,clear sky
42,Suntar,RU,62.1444,117.6319,-39.14,98,100,4.38,overcast clouds
43,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,4.61,scattered clouds
44,Kapaa,US,22.0752,-159.319,71.92,91,100,1.99,light rain
45,San Patricio,US,28.017,-97.5169,68.18,22,20,13.15,few clouds
46,Carpentras,FR,44.0833,5.1667,37.92,66,71,5.08,broken clouds
47,Varzea Grande,BR,-15.6467,-56.1325,91.27,49,40,2.3,scattered clouds
48,Busselton,AU,-33.65,115.3333,68.45,54,19,14.32,few clouds
49,Homer,US,59.6425,-151.5483,35.49,75,100,3.44,overcast clouds
50,Port Blair,IN,11.6667,92.75,78.84,73,75,8.05,haze
51,Dothan,US,31.2232,-85.3905,72.64,88,100,9.22,overcast clouds
52,Mongoumba,CF,3.6415,18.5936,85.14,23,54,3.27,broken clouds
53,San Quintin,MX,30.4833,-115.95,56.88,57,10,3.74,clear sky
54,Faanui,PF,-16.4833,-151.75,80.46,75,7,17.2,light rain
55,Guilin,CN,25.2819,110.2864,42.91,53,8,5.3,clear sky
56,Ust-Maya,RU,60.4167,134.5333,-50.85,100,100,1.32,overcast clouds
57,Port Alfred,ZA,-33.5906,26.891,72.18,90,100,3.0,light rain
58,New Norfolk,AU,-42.7826,147.0587,53.71,72,18,3.2,few clouds
59,Severo-Kurilsk,RU,50.6789,156.125,16.74,72,100,27.4,light snow
60,Palmer,US,42.1584,-72.3287,40.24,71,100,0.0,overcast clouds
61,Pacific Grove,US,36.6177,-121.9166,49.66,91,0,1.99,clear sky
62,Qui Nhon,VN,13.7667,109.2333,70.56,82,100,17.67,overcast clouds
63,Honningsvag,NO,70.9821,25.9704,31.75,69,20,8.05,few clouds
64,Chuy,UY,-33.6971,-53.4616,81.46,48,99,13.56,overcast clouds
65,Vila Velha,BR,-20.3297,-40.2925,84.15,79,40,10.36,scattered clouds
66,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,0,6.91,clear sky
67,Broken Hill,AU,-31.95,141.4333,61.59,32,0,12.75,clear sky
68,Kavaratti,IN,10.5669,72.642,80.08,72,23,4.03,few clouds
69,Clyde River,CA,70.4692,-68.5914,-21.77,69,100,3.44,overcast clouds
70,Princeton,US,25.5384,-80.4089,82.99,62,0,6.91,clear sky
71,Bima,ID,-8.4667,118.7167,76.77,92,100,1.07,overcast clouds
72,Havelock,US,34.8791,-76.9013,69.75,92,75,13.8,broken clouds
73,Varzea Da Palma,BR,-17.5981,-44.7308,84.38,58,68,3.04,light rain
74,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,40,4.0,scattered clouds
75,Pimenta Bueno,BR,-11.6725,-61.1936,86.13,63,88,0.85,moderate rain
76,Geraldton,AU,-28.7667,114.6,70.21,83,0,5.75,clear sky
77,Bonavista,CA,48.6499,-53.1147,33.31,98,100,15.55,light snow
78,Ancud,CL,-41.8697,-73.8203,65.89,67,96,7.94,overcast clouds
79,Lompoc,US,34.6391,-120.4579,49.59,100,100,6.91,mist
80,Te Anau,NZ,-45.4167,167.7167,50.77,91,87,3.11,overcast clouds
81,Kaitangata,NZ,-46.2817,169.8464,56.91,96,84,3.2,broken clouds
82,Nikolskoye,RU,59.7035,30.7861,35.49,85,91,9.53,overcast clouds
83,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,100,8.28,light rain
84,Ponta Do Sol,PT,32.6667,-17.1,63.12,53,64,8.34,broken clouds
85,Naze,JP,28.3667,129.4833,52.72,64,5,9.28,clear sky
86,Pisco,PE,-13.7,-76.2167,77.02,69,0,9.22,clear sky
87,Codrington,AU,-38.2667,141.9667,57.16,69,100,11.61,overcast clouds
88,Salalah,OM,17.0151,54.0924,80.69,22,0,13.8,clear sky
89,Kodiak,US,57.79,-152.4072,36.91,93,100,9.22,light rain
90,Dongsheng,CN,39.8161,109.9776,1.47,65,2,2.21,clear sky
91,Port Elizabeth,ZA,-33.918,25.5701,72.32,91,75,18.41,light rain
92,Monrovia,LR,6.3005,-10.7969,89.37,69,67,11.99,broken clouds
93,Itarema,BR,-2.9248,-39.9167,86.14,58,94,11.95,overcast clouds
94,Launceston,AU,-41.45,147.1667,55.04,66,100,5.75,overcast clouds
95,Grindavik,IS,63.8424,-22.4338,24.75,80,75,10.36,broken clouds
96,Forestville,US,38.8451,-76.875,44.35,82,100,8.05,overcast clouds
97,Kannur,IN,11.8675,75.3576,73.0,75,71,4.47,broken clouds
98,Georgetown,MY,5.4112,100.3354,82.33,78,20,5.99,few clouds
99,Northam,GB,51.0333,-4.2167,42.62,76,12,11.34,few clouds
100,Labuhan,ID,-6.8844,112.2051,75.07,92,100,8.21,overcast clouds
101,Formosa,AR,-26.1775,-58.1781,96.78,41,20,5.75,few clouds
102,Barrow,US,71.2906,-156.7887,-9.38,77,100,17.27,haze
103,Westport,US,41.1415,-73.3579,41.56,84,100,3.44,moderate rain
104,Burewala,PK,30.1667,72.65,56.23,50,96,9.4,light rain
105,Dera Ghazi Khan,PK,30.0561,70.6348,54.19,39,95,7.43,overcast clouds
106,Namatanai,PG,-3.6667,152.4333,79.05,81,98,4.16,overcast clouds
107,Malakal,SS,9.5334,31.6605,86.31,22,94,5.53,overcast clouds
108,Roald,NO,62.5833,6.1333,34.75,69,0,10.36,clear sky
109,Nouadhibou,MR,20.931,-17.0347,75.18,35,0,14.97,clear sky
110,Victoria,HK,22.2855,114.1577,63.32,65,2,5.99,clear sky
111,Koumac,NC,-20.5667,164.2833,75.97,81,67,3.29,broken clouds
112,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,100,13.8,light snow
113,Cidreira,BR,-30.1811,-50.2056,77.76,78,75,13.62,light rain
114,Villa Rica,US,33.7321,-84.9191,64.67,64,96,11.65,overcast clouds
115,Bluff,NZ,-46.6,168.3333,54.91,92,98,8.81,overcast clouds
116,Kamenka,RU,51.3223,42.7678,24.94,77,98,15.23,overcast clouds
117,Dolores,AR,-36.3132,-57.6792,90.54,33,0,14.79,clear sky
118,Amapa,BR,1.0,-52.0,73.96,89,100,2.15,overcast clouds
119,Yar-Sale,RU,66.8333,70.8333,-6.54,100,85,4.85,overcast clouds
120,Aktas,KZ,49.7789,72.9608,-7.85,81,2,1.86,clear sky
121,Beloha,MG,-25.1667,45.05,75.36,74,65,19.13,broken clouds
122,Laguna,US,38.421,-121.4238,46.38,95,100,8.05,fog
123,Talnakh,RU,69.4865,88.3972,-31.77,82,3,3.15,clear sky
124,Adrar,MR,20.5022,-10.0711,73.13,27,57,6.69,broken clouds
125,Chapayeve,UA,49.3662,35.8749,44.17,72,24,18.97,few clouds
126,Avera,US,33.194,-82.5271,67.55,74,100,15.12,overcast clouds
127,Lagoa,PT,39.05,-27.9833,56.62,74,45,11.16,scattered clouds
128,Butaritari,KI,3.0707,172.7902,80.04,84,95,19.6,light rain
129,Abalak,RU,58.1286,68.5944,12.02,96,98,4.56,overcast clouds
130,Seoul,KR,37.5683,126.9778,38.64,84,100,10.36,mist
131,Coquimbo,CL,-29.9533,-71.3436,67.73,68,100,5.75,overcast clouds
132,East London,ZA,-33.0153,27.9116,76.14,94,100,6.91,light rain
133,Lahat,ID,-3.8,103.5333,72.07,97,100,2.77,overcast clouds
134,Sillod,IN,20.3,75.65,71.94,32,17,5.28,few clouds
135,Cape Town,ZA,-33.9258,18.4232,83.08,44,0,14.97,clear sky
136,Moose Factory,CA,51.2585,-80.6094,10.4,85,100,2.3,overcast clouds
137,Matay,EG,28.419,30.7792,61.48,27,0,6.08,clear sky
138,Taoudenni,ML,22.6783,-3.9836,77.38,17,51,8.23,broken clouds
139,Cockburn Town,TC,21.4612,-71.1419,76.68,68,68,15.35,broken clouds
140,Lahaina,US,20.8783,-156.6825,70.81,86,0,2.71,clear sky
141,Margate,GB,51.3813,1.3862,37.87,79,46,1.99,scattered clouds
142,Bowen,AU,-20.0167,148.2333,73.49,89,1,8.63,clear sky
143,Kahului,US,20.8947,-156.47,70.84,82,20,5.75,few clouds
144,Kavieng,PG,-2.5744,150.7967,81.73,75,96,6.53,overcast clouds
145,Wanning,CN,18.8003,110.3967,59.68,85,88,8.81,overcast clouds
146,Karasburg,NA,-28.0167,18.75,86.97,32,89,8.1,overcast clouds
147,Arman,RU,59.7,150.1667,-18.49,80,80,11.3,broken clouds
148,Asau,RO,46.4333,26.4,52.72,63,64,7.16,broken clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,20,20.71,few clouds
150,Hithadhoo,MV,-0.6,73.0833,80.33,80,45,13.11,scattered clouds
151,Bethel,US,41.3712,-73.414,40.55,80,100,4.61,moderate rain
152,Cayenne,GF,4.9333,-52.3333,82.44,74,76,6.91,broken clouds
153,Abu Dhabi,AE,24.4667,54.3667,68.11,66,20,5.75,few clouds
154,Sitka,US,57.0531,-135.33,39.09,81,100,16.11,moderate rain
155,Buchanan,LR,5.8808,-10.0467,83.82,68,16,11.56,few clouds
156,Umm Bab,QA,25.2142,50.8072,61.79,66,20,15.57,few clouds
157,Longyearbyen,SJ,78.2186,15.6401,28.24,74,40,18.41,scattered clouds
158,Grand-Lahou,CI,5.1367,-5.0242,82.71,74,25,12.06,scattered clouds
159,Kaputa,ZM,-8.4689,29.6619,70.43,86,72,3.33,light rain
160,Tutoia,BR,-2.7619,-42.2744,82.81,66,64,8.32,broken clouds
161,Yarada,IN,17.65,83.2667,71.92,94,20,2.3,mist
162,Avarua,CK,-21.2078,-159.775,77.05,94,75,10.36,light rain
163,Castro,BR,-24.7911,-50.0119,74.35,77,84,3.38,broken clouds
164,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,11.5,shower rain
165,Paita,PE,-5.0892,-81.1144,77.76,58,63,8.25,broken clouds
166,Lavrentiya,RU,65.5833,-171.0,-22.68,92,47,7.36,scattered clouds
167,Richards Bay,ZA,-28.783,32.0377,82.13,69,96,9.64,overcast clouds
168,Lathrop,US,37.8227,-121.2766,45.3,91,75,10.36,broken clouds
169,Kapustin Yar,RU,48.5831,45.7372,24.13,90,7,9.98,clear sky
170,Haines Junction,CA,60.7522,-137.5108,6.08,100,84,0.25,broken clouds
171,Talcahuano,CL,-36.7167,-73.1167,58.68,82,100,13.8,overcast clouds
172,Linfen,CN,36.0889,111.5189,27.23,48,0,1.54,clear sky
173,Bonthe,SL,7.5264,-12.505,84.87,60,67,13.8,broken clouds
174,Port Hedland,AU,-20.3167,118.5667,80.65,89,91,5.75,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,68.5,73,75,0.0,broken clouds
