City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mersing,MY,2023-01-14 01:30:06,2.4312,103.8405,78.71,89,40,3.44
1,Tuatapere,NZ,2023-01-14 01:30:06,-46.1333,167.6833,69.46,48,10,7.27
2,Mataura,NZ,2023-01-14 01:30:07,-46.1927,168.8643,74.16,35,6,4.18
3,Ahipara,NZ,2023-01-14 01:30:07,-35.1667,173.1667,68.65,83,62,2.8
4,Vaini,TO,2023-01-14 01:30:08,-21.2,-175.2,87.96,74,40,11.5
5,Itarema,BR,2023-01-14 01:30:09,-2.9248,-39.9167,78.96,82,75,13.94
6,Georgetown,MY,2023-01-14 01:25:42,5.4112,100.3354,80.53,98,20,4.61
7,Maceio,BR,2023-01-14 01:30:09,-9.6658,-35.7353,76.44,94,40,4.61
8,Yellowknife,CA,2023-01-14 01:30:10,62.456,-114.3525,-12.44,84,40,9.22
9,Kavaratti,IN,2023-01-14 01:30:11,10.5669,72.642,80.96,64,100,13.29
10,Lorengau,PG,2023-01-14 01:30:11,-2.0226,147.2712,84.43,69,100,7.58
11,Longyearbyen,SJ,2023-01-14 01:30:12,78.2186,15.6401,30.04,74,75,27.63
12,Comodoro Rivadavia,AR,2023-01-14 01:29:38,-45.8667,-67.5,71.46,35,0,19.57
13,Ponta Do Sol,PT,2023-01-14 01:30:13,32.6667,-17.1,61.43,74,11,6.31
14,Altamira,BR,2023-01-14 01:30:14,-3.2033,-52.2064,72.45,95,100,2.75
15,Grand Gaube,MU,2023-01-14 01:30:14,-20.0064,57.6608,77.4,73,26,5.01
16,Calvinia,ZA,2023-01-14 01:30:15,-31.4707,19.776,70.43,21,5,3.71
17,Ribeira Grande,PT,2023-01-14 01:30:16,38.5167,-28.7,59.77,95,100,7.0
18,Hermanus,ZA,2023-01-14 01:30:16,-34.4187,19.2345,63.77,85,25,4.09
19,Ruwi,OM,2023-01-14 01:30:17,23.5996,58.5507,60.49,44,0,2.1
20,Hilo,US,2023-01-14 01:30:18,19.7297,-155.09,80.33,60,0,13.8
21,Cap Malheureux,MU,2023-01-14 01:30:18,-19.9842,57.6142,76.46,73,62,5.01
22,Rikitea,PF,2023-01-14 01:30:19,-23.1203,-134.9692,78.08,77,8,16.67
23,Punta Arenas,CL,2023-01-14 01:30:20,-53.15,-70.9167,48.31,57,75,28.77
24,Batagay-Alyta,RU,2023-01-14 01:30:20,67.8006,130.4114,-34.62,99,100,1.05
25,Bluff,NZ,2023-01-14 01:30:21,-46.6,168.3333,60.46,64,9,11.92
26,Tasiilaq,GL,2023-01-14 01:30:22,65.6145,-37.6368,15.96,68,100,10.42
27,Nacala,MZ,2023-01-14 01:30:22,-14.5428,40.6728,75.33,91,100,2.51
28,Shelburne,CA,2023-01-14 01:30:23,44.0787,-80.2041,18.05,93,100,14.61
29,Show Low,US,2023-01-14 01:30:23,34.2542,-110.0298,47.14,49,0,4.61
30,Envira,BR,2023-01-14 01:30:24,-7.3,-70.2167,70.3,95,42,2.59
31,Ambon,ID,2023-01-14 01:30:25,-3.6954,128.1814,86.14,74,40,4.61
32,Albany,US,2023-01-14 01:28:15,42.6001,-73.9662,32.38,81,100,11.01
33,Chulman,RU,2023-01-14 01:25:56,56.8479,124.9104,-31.04,98,100,3.51
34,Busselton,AU,2023-01-14 01:30:26,-33.65,115.3333,69.53,37,0,14.05
35,Port Elizabeth,ZA,2023-01-14 01:30:27,-33.918,25.5701,68.31,79,0,5.75
36,Atuona,PF,2023-01-14 01:30:28,-9.8,-139.0333,77.76,71,99,6.38
37,Hovd,MN,2023-01-14 01:30:28,48.0056,91.6419,-7.15,67,9,1.59
38,Souillac,MU,2023-01-14 01:30:29,-20.5167,57.5167,77.38,78,40,9.22
39,Puerto Ayora,EC,2023-01-14 01:30:30,-0.7393,-90.3518,74.55,91,35,1.01
40,Saint Anthony,US,2023-01-14 01:30:31,45.0205,-93.218,19.35,89,100,6.91
41,Iqaluit,CA,2023-01-14 01:30:32,63.7506,-68.5145,-22.27,69,20,0.0
42,Pathein,MM,2023-01-14 01:30:33,16.7833,94.7333,74.07,57,5,7.58
43,Saint-Philippe,RE,2023-01-14 01:31:34,-21.3585,55.7679,74.79,80,84,9.1
44,Hobart,AU,2023-01-14 01:31:35,-42.8794,147.3294,88.23,43,20,12.66
45,Bandarbeyla,SO,2023-01-14 01:31:35,9.4942,50.8122,75.69,74,90,16.35
46,Sitka,US,2023-01-14 01:28:55,57.0531,-135.33,42.69,75,100,4.61
47,Chipata,ZM,2023-01-14 01:31:36,-13.6333,32.65,63.55,96,99,2.71
48,Vicuna,CL,2023-01-14 01:31:36,-30.0319,-70.7081,70.77,56,0,0.6
49,Bealanana,MG,2023-01-14 01:31:37,-14.55,48.7333,64.29,98,93,2.17
50,Ceccano,IT,2023-01-14 01:31:38,41.5677,13.3333,51.64,88,51,2.57
51,Inirida,CO,2023-01-14 01:31:38,3.8653,-67.9239,72.28,98,100,1.05
52,Ajdabiya,LY,2023-01-14 01:31:39,30.7554,20.2263,57.36,70,70,4.83
53,Cape Town,ZA,2023-01-14 01:31:39,-33.9258,18.4232,67.87,80,0,17.27
54,Samarai,PG,2023-01-14 01:31:40,-10.6167,150.6667,83.41,73,100,6.46
55,Tuktoyaktuk,CA,2023-01-14 01:31:40,69.4541,-133.0374,-5.8,84,75,17.27
56,Emilio Carranza,MX,2023-01-14 01:31:41,19.9711,-96.6114,62.2,67,1,9.17
57,Kruisfontein,ZA,2023-01-14 01:31:41,-34.0033,24.7314,62.89,86,91,1.63
58,Cayenne,GF,2023-01-14 01:30:07,4.9333,-52.3333,75.24,94,100,2.3
59,Teknaf,BD,2023-01-14 01:31:42,20.8624,92.3058,65.82,47,0,7.14
60,Mehamn,NO,2023-01-14 01:31:43,71.0357,27.8492,35.55,75,21,20.71
61,Lagoa,PT,2023-01-14 01:31:43,39.05,-27.9833,60.35,94,100,25.3
62,Krasnyy Chikoy,RU,2023-01-14 01:31:44,50.3643,108.7512,-21.8,90,31,1.39
63,Nikolskoye,RU,2023-01-14 01:31:44,59.7035,30.7861,35.49,98,100,8.46
64,San Quintin,MX,2023-01-14 01:31:45,30.4833,-115.95,59.65,76,100,9.28
65,Ushuaia,AR,2023-01-14 01:31:45,-54.8,-68.3,49.66,46,40,32.21
66,Aksu,CN,2023-01-14 01:31:46,41.1231,80.2644,14.49,95,100,1.77
67,Barrow,US,2023-01-14 01:31:46,71.2906,-156.7887,-2.18,78,0,23.02
68,Avarua,CK,2023-01-14 01:31:47,-21.2078,-159.775,80.65,57,2,6.91
69,Stornoway,GB,2023-01-14 01:31:47,58.2093,-6.3865,42.76,82,100,11.5
70,Mantua,IT,2023-01-14 01:27:07,45.1667,10.7833,34.99,88,9,2.64
71,Clyde River,CA,2023-01-14 01:31:48,70.4692,-68.5914,-14.57,64,40,3.44
72,Krosno Odrzanskie,PL,2023-01-14 01:31:49,52.0549,15.0988,43.84,78,75,14.58
73,Provideniya,RU,2023-01-14 01:31:49,64.3833,-173.3,0.28,93,12,7.78
74,Asyut,EG,2023-01-14 01:31:49,27.181,31.1837,48.38,60,0,3.8
75,Oga,IT,2023-01-14 01:31:50,46.4631,10.347,30.88,94,40,2.77
